"","ID_coords","lon","lat","date","Prcp"
"131",1,-5.53,36.56,"2019-05-11",0
"132",1,-5.53,36.56,"2019-05-12",0
"133",1,-5.53,36.56,"2019-05-13",0
"134",1,-5.53,36.56,"2019-05-14",0
"135",1,-5.53,36.56,"2019-05-15",0
"136",1,-5.53,36.56,"2019-05-16",0
"137",1,-5.53,36.56,"2019-05-17",0
"138",1,-5.53,36.56,"2019-05-18",0
"139",1,-5.53,36.56,"2019-05-19",0
"140",1,-5.53,36.56,"2019-05-20",0
"141",1,-5.53,36.56,"2019-05-21",0
"142",1,-5.53,36.56,"2019-05-22",0
"143",1,-5.53,36.56,"2019-05-23",0
"144",1,-5.53,36.56,"2019-05-24",0
"145",1,-5.53,36.56,"2019-05-25",0
"146",1,-5.53,36.56,"2019-05-26",0
"147",1,-5.53,36.56,"2019-05-27",0
"148",1,-5.53,36.56,"2019-05-28",0
"149",1,-5.53,36.56,"2019-05-29",0
"150",1,-5.53,36.56,"2019-05-30",0
"151",1,-5.53,36.56,"2019-05-31",0
"152",1,-5.53,36.56,"2019-06-01",0
"153",1,-5.53,36.56,"2019-06-02",0
"154",1,-5.53,36.56,"2019-06-03",0
"155",1,-5.53,36.56,"2019-06-04",0
"156",1,-5.53,36.56,"2019-06-05",0
"157",1,-5.53,36.56,"2019-06-06",0
"158",1,-5.53,36.56,"2019-06-07",0
"159",1,-5.53,36.56,"2019-06-08",0
"160",1,-5.53,36.56,"2019-06-09",0
"161",1,-5.53,36.56,"2019-06-10",0
"162",1,-5.53,36.56,"2019-06-11",0
"163",1,-5.53,36.56,"2019-06-12",0
"164",1,-5.53,36.56,"2019-06-13",0
"165",1,-5.53,36.56,"2019-06-14",0
"166",1,-5.53,36.56,"2019-06-15",0
"167",1,-5.53,36.56,"2019-06-16",0
"168",1,-5.53,36.56,"2019-06-17",0
"169",1,-5.53,36.56,"2019-06-18",0
"170",1,-5.53,36.56,"2019-06-19",0
"171",1,-5.53,36.56,"2019-06-20",0
"172",1,-5.53,36.56,"2019-06-21",0
"173",1,-5.53,36.56,"2019-06-22",0
"174",1,-5.53,36.56,"2019-06-23",0
"175",1,-5.53,36.56,"2019-06-24",0
"176",1,-5.53,36.56,"2019-06-25",0
"177",1,-5.53,36.56,"2019-06-26",0
"178",1,-5.53,36.56,"2019-06-27",0
"179",1,-5.53,36.56,"2019-06-28",0
"180",1,-5.53,36.56,"2019-06-29",0
"181",1,-5.53,36.56,"2019-06-30",0
"182",1,-5.53,36.56,"2019-07-01",0
"183",1,-5.53,36.56,"2019-07-02",0
"184",1,-5.53,36.56,"2019-07-03",0
"185",1,-5.53,36.56,"2019-07-04",0
"186",1,-5.53,36.56,"2019-07-05",0
"187",1,-5.53,36.56,"2019-07-06",0
"188",1,-5.53,36.56,"2019-07-07",0
"189",1,-5.53,36.56,"2019-07-08",0
"190",1,-5.53,36.56,"2019-07-09",0
"191",1,-5.53,36.56,"2019-07-10",0
"192",1,-5.53,36.56,"2019-07-11",0
"193",1,-5.53,36.56,"2019-07-12",0
"194",1,-5.53,36.56,"2019-07-13",0
"195",1,-5.53,36.56,"2019-07-14",0
"196",1,-5.53,36.56,"2019-07-15",0
"197",1,-5.53,36.56,"2019-07-16",0
"198",1,-5.53,36.56,"2019-07-17",0
"199",1,-5.53,36.56,"2019-07-18",0
"200",1,-5.53,36.56,"2019-07-19",0
"201",1,-5.53,36.56,"2019-07-20",0
"202",1,-5.53,36.56,"2019-07-21",0
"203",1,-5.53,36.56,"2019-07-22",0
"204",1,-5.53,36.56,"2019-07-23",0
"205",1,-5.53,36.56,"2019-07-24",0
"206",1,-5.53,36.56,"2019-07-25",0
"207",1,-5.53,36.56,"2019-07-26",0
"208",1,-5.53,36.56,"2019-07-27",0
"209",1,-5.53,36.56,"2019-07-28",0
"210",1,-5.53,36.56,"2019-07-29",0
"211",1,-5.53,36.56,"2019-07-30",0
"212",1,-5.53,36.56,"2019-07-31",0
"213",1,-5.53,36.56,"2019-08-01",0
"214",1,-5.53,36.56,"2019-08-02",0
"215",1,-5.53,36.56,"2019-08-03",0
"216",1,-5.53,36.56,"2019-08-04",0
"217",1,-5.53,36.56,"2019-08-05",0
"218",1,-5.53,36.56,"2019-08-06",0
"219",1,-5.53,36.56,"2019-08-07",0
"220",1,-5.53,36.56,"2019-08-08",0
"221",1,-5.53,36.56,"2019-08-09",0
"222",1,-5.53,36.56,"2019-08-10",0
"223",1,-5.53,36.56,"2019-08-11",0
"224",1,-5.53,36.56,"2019-08-12",0
"225",1,-5.53,36.56,"2019-08-13",0
"226",1,-5.53,36.56,"2019-08-14",0
"227",1,-5.53,36.56,"2019-08-15",0
"228",1,-5.53,36.56,"2019-08-16",0
"229",1,-5.53,36.56,"2019-08-17",0
"230",1,-5.53,36.56,"2019-08-18",0
"231",1,-5.53,36.56,"2019-08-19",0
"232",1,-5.53,36.56,"2019-08-20",0
"233",1,-5.53,36.56,"2019-08-21",0
"234",1,-5.53,36.56,"2019-08-22",0
"235",1,-5.53,36.56,"2019-08-23",0
"236",1,-5.53,36.56,"2019-08-24",0
"237",1,-5.53,36.56,"2019-08-25",0
"238",1,-5.53,36.56,"2019-08-26",0
"239",1,-5.53,36.56,"2019-08-27",0
"240",1,-5.53,36.56,"2019-08-28",0
"241",1,-5.53,36.56,"2019-08-29",0
"242",1,-5.53,36.56,"2019-08-30",0
"243",1,-5.53,36.56,"2019-08-31",0
"244",1,-5.53,36.56,"2019-09-01",0
"245",1,-5.53,36.56,"2019-09-02",0
"246",1,-5.53,36.56,"2019-09-03",0
"247",1,-5.53,36.56,"2019-09-04",0
"248",1,-5.53,36.56,"2019-09-05",0
"249",1,-5.53,36.56,"2019-09-06",0
"250",1,-5.53,36.56,"2019-09-07",0
"251",1,-5.53,36.56,"2019-09-08",4.89
"252",1,-5.53,36.56,"2019-09-09",0
"253",1,-5.53,36.56,"2019-09-10",0
"254",1,-5.53,36.56,"2019-09-11",0
"255",1,-5.53,36.56,"2019-09-12",0
"256",1,-5.53,36.56,"2019-09-13",10.38
"257",1,-5.53,36.56,"2019-09-14",1.99
"258",1,-5.53,36.56,"2019-09-15",0
"259",1,-5.53,36.56,"2019-09-16",0
"260",1,-5.53,36.56,"2019-09-17",0
"261",1,-5.53,36.56,"2019-09-18",0
"262",1,-5.53,36.56,"2019-09-19",0
"263",1,-5.53,36.56,"2019-09-20",0
"264",1,-5.53,36.56,"2019-09-21",0
"265",1,-5.53,36.56,"2019-09-22",0
"266",1,-5.53,36.56,"2019-09-23",0
"267",1,-5.53,36.56,"2019-09-24",0
"268",1,-5.53,36.56,"2019-09-25",0
"269",1,-5.53,36.56,"2019-09-26",0
"270",1,-5.53,36.56,"2019-09-27",0
"271",1,-5.53,36.56,"2019-09-28",0
"272",1,-5.53,36.56,"2019-09-29",0
"273",1,-5.53,36.56,"2019-09-30",0
"274",1,-5.53,36.56,"2019-10-01",0
"275",1,-5.53,36.56,"2019-10-02",0
"276",1,-5.53,36.56,"2019-10-03",0
"277",1,-5.53,36.56,"2019-10-04",0
"278",1,-5.53,36.56,"2019-10-05",0
"279",1,-5.53,36.56,"2019-10-06",0
"280",1,-5.53,36.56,"2019-10-07",0
"281",1,-5.53,36.56,"2019-10-08",0
"282",1,-5.53,36.56,"2019-10-09",0
"283",1,-5.53,36.56,"2019-10-10",0
"284",1,-5.53,36.56,"2019-10-11",0
"285",1,-5.53,36.56,"2019-10-12",0
"286",1,-5.53,36.56,"2019-10-13",0.28
"287",1,-5.53,36.56,"2019-10-14",2.96
"288",1,-5.53,36.56,"2019-10-15",0
"289",1,-5.53,36.56,"2019-10-16",0
"290",1,-5.53,36.56,"2019-10-17",0
"291",1,-5.53,36.56,"2019-10-18",0
"292",1,-5.53,36.56,"2019-10-19",9.84
"293",1,-5.53,36.56,"2019-10-20",0
"294",1,-5.53,36.56,"2019-10-21",0
"295",1,-5.53,36.56,"2019-10-22",0
"296",1,-5.53,36.56,"2019-10-23",8
"297",1,-5.53,36.56,"2019-10-24",0
"298",1,-5.53,36.56,"2019-10-25",0
"299",1,-5.53,36.56,"2019-10-26",0
"300",1,-5.53,36.56,"2019-10-27",0
"301",1,-5.53,36.56,"2019-10-28",0
"302",1,-5.53,36.56,"2019-10-29",0
"303",1,-5.53,36.56,"2019-10-30",0
"304",1,-5.53,36.56,"2019-10-31",0
"305",1,-5.53,36.56,"2019-11-01",6.06
"306",1,-5.53,36.56,"2019-11-02",5.52
"307",1,-5.53,36.56,"2019-11-03",0
"308",1,-5.53,36.56,"2019-11-04",3.47
"309",1,-5.53,36.56,"2019-11-05",0
"310",1,-5.53,36.56,"2019-11-06",0
"311",1,-5.53,36.56,"2019-11-07",4.04
"312",1,-5.53,36.56,"2019-11-08",0
"313",1,-5.53,36.56,"2019-11-09",0
"314",1,-5.53,36.56,"2019-11-10",0
"315",1,-5.53,36.56,"2019-11-11",0
"316",1,-5.53,36.56,"2019-11-12",0
"317",1,-5.53,36.56,"2019-11-13",0
"318",1,-5.53,36.56,"2019-11-14",2.9
"319",1,-5.53,36.56,"2019-11-15",0
"320",1,-5.53,36.56,"2019-11-16",0
"321",1,-5.53,36.56,"2019-11-17",9.49
"322",1,-5.53,36.56,"2019-11-18",0
"323",1,-5.53,36.56,"2019-11-19",0
"324",1,-5.53,36.56,"2019-11-20",10.49
"325",1,-5.53,36.56,"2019-11-21",17.84
"326",1,-5.53,36.56,"2019-11-22",21.45
"327",1,-5.53,36.56,"2019-11-23",0
"328",1,-5.53,36.56,"2019-11-24",0
"329",1,-5.53,36.56,"2019-11-25",0
"330",1,-5.53,36.56,"2019-11-26",4.39
"331",1,-5.53,36.56,"2019-11-27",0
"332",1,-5.53,36.56,"2019-11-28",0
"333",1,-5.53,36.56,"2019-11-29",0
"334",1,-5.53,36.56,"2019-11-30",1.24
"335",1,-5.53,36.56,"2019-12-01",4.24
"336",1,-5.53,36.56,"2019-12-02",7.22
"337",1,-5.53,36.56,"2019-12-03",0
"338",1,-5.53,36.56,"2019-12-04",0
"339",1,-5.53,36.56,"2019-12-05",0
"340",1,-5.53,36.56,"2019-12-06",0
"341",1,-5.53,36.56,"2019-12-07",0
"342",1,-5.53,36.56,"2019-12-08",0
"343",1,-5.53,36.56,"2019-12-09",0
"344",1,-5.53,36.56,"2019-12-10",0
"345",1,-5.53,36.56,"2019-12-11",0
"346",1,-5.53,36.56,"2019-12-12",0
"347",1,-5.53,36.56,"2019-12-13",0
"348",1,-5.53,36.56,"2019-12-14",0
"349",1,-5.53,36.56,"2019-12-15",0
"350",1,-5.53,36.56,"2019-12-16",5.81
"351",1,-5.53,36.56,"2019-12-17",0
"352",1,-5.53,36.56,"2019-12-18",0
"353",1,-5.53,36.56,"2019-12-19",17.86
"354",1,-5.53,36.56,"2019-12-20",14.58
"355",1,-5.53,36.56,"2019-12-21",4.13
"356",1,-5.53,36.56,"2019-12-22",0
"357",1,-5.53,36.56,"2019-12-23",0
"358",1,-5.53,36.56,"2019-12-24",0
"359",1,-5.53,36.56,"2019-12-25",0
"360",1,-5.53,36.56,"2019-12-26",0
"361",1,-5.53,36.56,"2019-12-27",0
"362",1,-5.53,36.56,"2019-12-28",0
"363",1,-5.53,36.56,"2019-12-29",0
"364",1,-5.53,36.56,"2019-12-30",0
"365",1,-5.53,36.56,"2019-12-31",0
"366",1,-5.53,36.56,"2020-01-01",0
"367",1,-5.53,36.56,"2020-01-02",0
"368",1,-5.53,36.56,"2020-01-03",0
"369",1,-5.53,36.56,"2020-01-04",0
"370",1,-5.53,36.56,"2020-01-05",0
"371",1,-5.53,36.56,"2020-01-06",0
"372",1,-5.53,36.56,"2020-01-07",0
"373",1,-5.53,36.56,"2020-01-08",0
"374",1,-5.53,36.56,"2020-01-09",0
"375",1,-5.53,36.56,"2020-01-10",0
"376",1,-5.53,36.56,"2020-01-11",0
"377",1,-5.53,36.56,"2020-01-12",0
"378",1,-5.53,36.56,"2020-01-13",0
"379",1,-5.53,36.56,"2020-01-14",0
"380",1,-5.53,36.56,"2020-01-15",0
"381",1,-5.53,36.56,"2020-01-16",0
"382",1,-5.53,36.56,"2020-01-17",0
"383",1,-5.53,36.56,"2020-01-18",5.38
"384",1,-5.53,36.56,"2020-01-19",0
"385",1,-5.53,36.56,"2020-01-20",0
"386",1,-5.53,36.56,"2020-01-21",5.87
"387",1,-5.53,36.56,"2020-01-22",11.08
"388",1,-5.53,36.56,"2020-01-23",12.18
"389",1,-5.53,36.56,"2020-01-24",23.78
"390",1,-5.53,36.56,"2020-01-25",11.1
"391",1,-5.53,36.56,"2020-01-26",0
"392",1,-5.53,36.56,"2020-01-27",0
"393",1,-5.53,36.56,"2020-01-28",0
"394",1,-5.53,36.56,"2020-01-29",0
"395",1,-5.53,36.56,"2020-01-30",0
"396",1,-5.53,36.56,"2020-01-31",0
"397",1,-5.53,36.56,"2020-02-01",0
"398",1,-5.53,36.56,"2020-02-02",0
"399",1,-5.53,36.56,"2020-02-03",0
"400",1,-5.53,36.56,"2020-02-04",0
"401",1,-5.53,36.56,"2020-02-05",0
"402",1,-5.53,36.56,"2020-02-06",0
"403",1,-5.53,36.56,"2020-02-07",2.14
"404",1,-5.53,36.56,"2020-02-08",0
"405",1,-5.53,36.56,"2020-02-09",0
"406",1,-5.53,36.56,"2020-02-10",0
"407",1,-5.53,36.56,"2020-02-11",0
"408",1,-5.53,36.56,"2020-02-12",0
"409",1,-5.53,36.56,"2020-02-13",0
"410",1,-5.53,36.56,"2020-02-14",0
"411",1,-5.53,36.56,"2020-02-15",0
"412",1,-5.53,36.56,"2020-02-16",0
"413",1,-5.53,36.56,"2020-02-17",0
"414",1,-5.53,36.56,"2020-02-18",0
"415",1,-5.53,36.56,"2020-02-19",0
"416",1,-5.53,36.56,"2020-02-20",0
"417",1,-5.53,36.56,"2020-02-21",0
"418",1,-5.53,36.56,"2020-02-22",0
"419",1,-5.53,36.56,"2020-02-23",0
"420",1,-5.53,36.56,"2020-02-24",0
"421",1,-5.53,36.56,"2020-02-25",0
"422",1,-5.53,36.56,"2020-02-26",0
"423",1,-5.53,36.56,"2020-02-27",0
"424",1,-5.53,36.56,"2020-02-28",0
"425",1,-5.53,36.56,"2020-02-29",2.79
"426",1,-5.53,36.56,"2020-03-01",0
"427",1,-5.53,36.56,"2020-03-02",0
"428",1,-5.53,36.56,"2020-03-03",0
"429",1,-5.53,36.56,"2020-03-04",0
"430",1,-5.53,36.56,"2020-03-05",0
"431",1,-5.53,36.56,"2020-03-06",0
"432",1,-5.53,36.56,"2020-03-07",0
"433",1,-5.53,36.56,"2020-03-08",0
"434",1,-5.53,36.56,"2020-03-09",0
"435",1,-5.53,36.56,"2020-03-10",0
"436",1,-5.53,36.56,"2020-03-11",0
"437",1,-5.53,36.56,"2020-03-12",0
"438",1,-5.53,36.56,"2020-03-13",0
"439",1,-5.53,36.56,"2020-03-14",0
"440",1,-5.53,36.56,"2020-03-15",0
"441",1,-5.53,36.56,"2020-03-16",3.75
"442",1,-5.53,36.56,"2020-03-17",14.27
"443",1,-5.53,36.56,"2020-03-18",0
"444",1,-5.53,36.56,"2020-03-19",0
"445",1,-5.53,36.56,"2020-03-20",14.14
"446",1,-5.53,36.56,"2020-03-21",14.83
"447",1,-5.53,36.56,"2020-03-22",2.44
"448",1,-5.53,36.56,"2020-03-23",15.3
"449",1,-5.53,36.56,"2020-03-24",7.33
"450",1,-5.53,36.56,"2020-03-25",0
"451",1,-5.53,36.56,"2020-03-26",0
"452",1,-5.53,36.56,"2020-03-27",0
"453",1,-5.53,36.56,"2020-03-28",0
"454",1,-5.53,36.56,"2020-03-29",0
"455",1,-5.53,36.56,"2020-03-30",26.41
"456",1,-5.53,36.56,"2020-03-31",7.47
"457",1,-5.53,36.56,"2020-04-01",10.36
"458",1,-5.53,36.56,"2020-04-02",3.26
"459",1,-5.53,36.56,"2020-04-03",0
"460",1,-5.53,36.56,"2020-04-04",0
"461",1,-5.53,36.56,"2020-04-05",0
"462",1,-5.53,36.56,"2020-04-06",0
"463",1,-5.53,36.56,"2020-04-07",0
"464",1,-5.53,36.56,"2020-04-08",0
"465",1,-5.53,36.56,"2020-04-09",0
"466",1,-5.53,36.56,"2020-04-10",0
